UID1,UID2
8264,8496
1325,6944
2244,875
6983,8094
1652,3668
4221,4932
4853,6115
415,989
1733,5234
2123,5144
3533,4806
7801,7828
3044,966
3099,5175
547,6611
7298,8070
7810,8501
3406,5587
2941,3250
5867,627
3308,4126
1963,3928
7814,8143
1272,4720
749,894
5229,941
1206,299
1023,4875
2407,2520
7304,7857
1329,4553
3192,3426
6810,7827
7344,8781
1636,831
7301,8501
2200,947
1947,3093
3029,5541
259,5478
4954,872
7619,7850
1770,5528
3178,6269
4223,5710
352,3574
5478,6284
1817,6457
146,2788
358,7181
975,981
6755,8837
3042,4907
322,989
3144,3762
1416,5056
319,4103
6975,8786
356,3953
1359,969
7442,8842
7442,8462
5028,5060
5297,6133
2397,3291
4155,762
4265,6890
1530,4013
7340,8240
1401,2437
3957,4207
7638,7855
1498,3157
1509,5262
4013,464
2877,3451
3445,3529
7726,8540
289,985
3121,5867
2273,5799
1000,3206
7689,7889
5307,6323
1963,4333
936,999
155,6920
2448,6852
7796,8387
7501,7630
2816,6593
6698,8472
7966,8132
3536,881
3066,5391
2889,4950
3723,461
7944,8849
7165,8211
8540,8549
1719,948
2135,804
7791,8057
195,2926
439,4561
1617,4013
343,3991
321,5618
5334,601
7545,7982
2551,5211
5104,6006
858,989
2116,2947
6987,7957
6493,6875
5250,6944
489,6188
1152,321
7533,7791
7442,8014
8307,8802
4207,604
1743,3635
3070,5185
5191,5208
2926,2943
4416,6129
2871,542
3348,6296
3063,5198
4200,5671
5150,5644
8444,8449
1846,6307
2889,5528
3204,3482
266,5445
2563,299
1687,4620
7269,7615
3933,460
8652,8796
2228,527
6264,6481
6788,8040
6802,8445
1791,2952
3559,3816
1767,6513
6497,981
5221,6634
3161,5768
4852,5208
7089,8521
8448,8796
6698,6707
1280,4831
6744,6819
1696,1949
7122,8472
7378,8119
5648,8288
8079,8340
2411,4001
7694,7709
8111,8124
1329,4320
2426,5990
3234,6323
7020,8126
7918,8093
5182,940
1552,8260
7850,8026
2446,5652
378,6508
3777,4048
3891,4481
2511,4955
7703,7704
2924,654
3518,4694
4186,5867
1789,4342
6804,8767
2716,2825
2180,4698
3251,4333
412,983
3226,6914
5940,750
2889,5419
7657,7921
3126,3586
