Source,Target,Type,Id,Label,Weight
7087,7283,Undirected,17331,,1
6795,7826,Undirected,17332,,1
3415,5893,Undirected,17333,,1
1,8289,Undirected,17334,,1
280,3992,Undirected,17335,,1
7289,7533,Undirected,17336,,1
8195,8556,Undirected,17337,,1
7280,8025,Undirected,17338,,1
8116,8298,Undirected,17339,,1
8142,8847,Undirected,17340,,1
7569,7677,Undirected,17341,,1
6748,7713,Undirected,17342,,1
326,4013,Undirected,17343,,1
8133,8473,Undirected,17344,,1
4013,6278,Undirected,17345,,1
4480,5867,Undirected,17346,,1
3226,3236,Undirected,17347,,1
2640,2673,Undirected,17348,,1
7510,7683,Undirected,17349,,1
6539,6681,Undirected,17350,,1
1897,314,Undirected,17351,,1
1713,1833,Undirected,17352,,1
1820,2209,Undirected,17353,,1
4064,4948,Undirected,17354,,1
3553,6314,Undirected,17355,,1
2493,3678,Undirected,17356,,1
6828,8361,Undirected,17357,,1
7997,8689,Undirected,17358,,1
3618,4024,Undirected,17359,,1
3865,5650,Undirected,17360,,1
1182,5178,Undirected,17361,,1
3633,3731,Undirected,17362,,1
3244,6626,Undirected,17363,,1
3371,5651,Undirected,17364,,1
4363,5878,Undirected,17365,,1
1961,4535,Undirected,17366,,1
3876,5029,Undirected,17367,,1
4174,4653,Undirected,17368,,1
1785,6053,Undirected,17369,,1
4694,5867,Undirected,17370,,1
2580,4441,Undirected,17371,,1
294,989,Undirected,17372,,1
4844,5208,Undirected,17373,,1
3621,5123,Undirected,17374,,1
2276,6292,Undirected,17375,,1
3830,4796,Undirected,17376,,1
2861,5221,Undirected,17377,,1
6466,6491,Undirected,17378,,1
7308,8343,Undirected,17379,,1
7892,7992,Undirected,17380,,1
1796,5867,Undirected,17381,,1
2186,4467,Undirected,17382,,1
1983,5867,Undirected,17383,,1
3464,3741,Undirected,17384,,1
3243,6625,Undirected,17385,,1
7857,7863,Undirected,17386,,1
6826,7775,Undirected,17387,,1
3156,485,Undirected,17388,,1
1371,2668,Undirected,17389,,1
6052,767,Undirected,17390,,1
1360,2638,Undirected,17391,,1
4200,5021,Undirected,17392,,1
3869,4480,Undirected,17393,,1
4868,6902,Undirected,17394,,1
1531,5047,Undirected,17395,,1
8267,8808,Undirected,17396,,1
1852,5038,Undirected,17397,,1
7811,7839,Undirected,17398,,1
1776,2143,Undirected,17399,,1
2682,4627,Undirected,17400,,1
6975,7443,Undirected,17401,,1
1896,2788,Undirected,17402,,1
3316,4212,Undirected,17403,,1
4041,6617,Undirected,17404,,1
4008,6545,Undirected,17405,,1
7088,7599,Undirected,17406,,1
2668,604,Undirected,17407,,1
7903,8694,Undirected,17408,,1
5769,8260,Undirected,17409,,1
5038,5638,Undirected,17410,,1
1163,2775,Undirected,17411,,1
4956,5539,Undirected,17412,,1
544,637,Undirected,17413,,1
2235,728,Undirected,17414,,1
1662,989,Undirected,17415,,1
611,6887,Undirected,17416,,1
6706,7558,Undirected,17417,,1
3331,4106,Undirected,17418,,1
1514,2993,Undirected,17419,,1
1517,2219,Undirected,17420,,1
2448,3662,Undirected,17421,,1
7488,7850,Undirected,17422,,1
1763,5565,Undirected,17423,,1
1270,2565,Undirected,17424,,1
6767,6771,Undirected,17425,,1
1526,5516,Undirected,17426,,1
7463,8472,Undirected,17427,,1
7610,7858,Undirected,17428,,1
3040,3088,Undirected,17429,,1
3162,6272,Undirected,17430,,1
432,5124,Undirected,17431,,1
3900,6296,Undirected,17432,,1
4013,5442,Undirected,17433,,1
1675,213,Undirected,17434,,1
2540,2947,Undirected,17435,,1
7895,8841,Undirected,17436,,1
1729,3632,Undirected,17437,,1
2477,5123,Undirected,17438,,1
4917,6269,Undirected,17439,,1
6987,8855,Undirected,17440,,1
1535,2448,Undirected,17441,,1
2361,4552,Undirected,17442,,1
2744,4893,Undirected,17443,,1
2759,3692,Undirected,17444,,1
3168,4044,Undirected,17445,,1
8583,8584,Undirected,17446,,1
4206,6181,Undirected,17447,,1
3487,420,Undirected,17448,,1
7473,7758,Undirected,17449,,1
7852,7885,Undirected,17450,,1
2246,3622,Undirected,17451,,1
255,6489,Undirected,17452,,1
1564,4161,Undirected,17453,,1
1890,3038,Undirected,17454,,1
1504,5790,Undirected,17455,,1
2476,6552,Undirected,17456,,1
4953,6277,Undirected,17457,,1
4070,4535,Undirected,17458,,1
6185,637,Undirected,17459,,1
7083,8180,Undirected,17460,,1
1215,1785,Undirected,17461,,1
1028,3213,Undirected,17462,,1
2537,520,Undirected,17463,,1
4360,5749,Undirected,17464,,1
7913,8021,Undirected,17465,,1
2435,553,Undirected,17466,,1
2732,2883,Undirected,17467,,1
3163,5213,Undirected,17468,,1
5478,6847,Undirected,17469,,1
7862,8353,Undirected,17470,,1
1331,4894,Undirected,17471,,1
5650,948,Undirected,17472,,1
7616,8684,Undirected,17473,,1
2426,3420,Undirected,17474,,1
3481,6240,Undirected,17475,,1
2853,4003,Undirected,17476,,1
1868,521,Undirected,17477,,1
5788,6670,Undirected,17478,,1
1900,2786,Undirected,17479,,1
2939,8250,Undirected,17480,,1
6207,6505,Undirected,17481,,1
1373,6275,Undirected,17482,,1
1330,1820,Undirected,17483,,1
2606,4726,Undirected,17484,,1
7319,7986,Undirected,17485,,1
5445,6490,Undirected,17486,,1
7404,8116,Undirected,17487,,1
7716,8456,Undirected,17488,,1
7764,7840,Undirected,17489,,1
7080,7748,Undirected,17490,,1
6780,7914,Undirected,17491,,1
8097,8766,Undirected,17492,,1
1846,3284,Undirected,17493,,1
1531,1802,Undirected,17494,,1
8066,8472,Undirected,17495,,1
5114,769,Undirected,17496,,1
1846,5898,Undirected,17497,,1
8116,8141,Undirected,17498,,1
8335,8497,Undirected,17499,,1
4720,705,Undirected,17500,,1
7553,8386,Undirected,17501,,1
5593,5647,Undirected,17502,,1
1021,1763,Undirected,17503,,1
3365,5070,Undirected,17504,,1
1473,207,Undirected,17505,,1
4261,6318,Undirected,17506,,1
1820,2606,Undirected,17507,,1
2199,6654,Undirected,17508,,1
2335,5425,Undirected,17509,,1
7782,8578,Undirected,17510,,1
7540,8454,Undirected,17511,,1
5421,5866,Undirected,17512,,1
2233,750,Undirected,17513,,1
3671,4145,Undirected,17514,,1
6795,8268,Undirected,17515,,1
5805,6451,Undirected,17516,,1
7556,8591,Undirected,17517,,1
1707,5519,Undirected,17518,,1
1743,4427,Undirected,17519,,1
2315,5347,Undirected,17520,,1
4013,878,Undirected,17521,,1
17,3020,Undirected,17522,,1
16,3017,Undirected,17523,,1
558,604,Undirected,17524,,1
3342,4478,Undirected,17525,,1
2885,4147,Undirected,17526,,1
2825,2883,Undirected,17527,,1
2135,2687,Undirected,17528,,1
2323,3205,Undirected,17529,,1
7520,8452,Undirected,17530,,1
1785,3862,Undirected,17531,,1
7290,7878,Undirected,17532,,1
1687,4642,Undirected,17533,,1
5537,5724,Undirected,17534,,1
7464,7733,Undirected,17535,,1
315,321,Undirected,17536,,1
2778,5489,Undirected,17537,,1
7751,8845,Undirected,17538,,1
5486,6240,Undirected,17539,,1
7687,8657,Undirected,17540,,1
6832,7576,Undirected,17541,,1
5561,6267,Undirected,17542,,1
6249,6551,Undirected,17543,,1
2932,5231,Undirected,17544,,1
7152,8333,Undirected,17545,,1
8102,8502,Undirected,17546,,1
213,2980,Undirected,17547,,1
187,2786,Undirected,17548,,1
3052,5208,Undirected,17549,,1
1011,8280,Undirected,17550,,1
7258,8263,Undirected,17551,,1
294,5032,Undirected,17552,,1
2706,2926,Undirected,17553,,1
2784,2788,Undirected,17554,,1
1152,758,Undirected,17555,,1
7949,8596,Undirected,17556,,1
257,5385,Undirected,17557,,1
1323,3806,Undirected,17558,,1
3806,5128,Undirected,17559,,1
8490,8677,Undirected,17560,,1
7387,8252,Undirected,17561,,1
7504,7739,Undirected,17562,,1
4195,773,Undirected,17563,,1
1868,4333,Undirected,17564,,1
2660,563,Undirected,17565,,1
7722,8105,Undirected,17566,,1
1495,3670,Undirected,17567,,1
2512,3222,Undirected,17568,,1
7595,8647,Undirected,17569,,1
1667,3207,Undirected,17570,,1
1524,4720,Undirected,17571,,1
2204,4304,Undirected,17572,,1
4044,4145,Undirected,17573,,1
4911,547,Undirected,17574,,1
3300,3401,Undirected,17575,,1
7773,8797,Undirected,17576,,1
1774,3435,Undirected,17577,,1
2237,3396,Undirected,17578,,1
2501,3161,Undirected,17579,,1
2859,5215,Undirected,17580,,1
1957,4221,Undirected,17581,,1
3456,3513,Undirected,17582,,1
4295,841,Undirected,17583,,1
7820,7881,Undirected,17584,,1
2143,4967,Undirected,17585,,1
1949,2663,Undirected,17586,,1
7944,8208,Undirected,17587,,1
1016,3459,Undirected,17588,,1
3724,8572,Undirected,17589,,1
1544,6269,Undirected,17590,,1
7520,8559,Undirected,17591,,1
1623,4467,Undirected,17592,,1
3584,4804,Undirected,17593,,1
4726,921,Undirected,17594,,1
7128,7131,Undirected,17595,,1
3807,4933,Undirected,17596,,1
3161,4189,Undirected,17597,,1
3800,5667,Undirected,17598,,1
2236,861,Undirected,17599,,1
647,999,Undirected,17600,,1
2219,5163,Undirected,17601,,1
1834,6070,Undirected,17602,,1
5049,6934,Undirected,17603,,1
7100,7451,Undirected,17604,,1
5035,6404,Undirected,17605,,1
1345,989,Undirected,17606,,1
1552,1953,Undirected,17607,,1
2292,6007,Undirected,17608,,1
1315,6323,Undirected,17609,,1
4555,5385,Undirected,17610,,1
5511,6539,Undirected,17611,,1
4688,4922,Undirected,17612,,1
1004,315,Undirected,17613,,1
3666,4219,Undirected,17614,,1
3280,6670,Undirected,17615,,1
4013,4739,Undirected,17616,,1
3302,3449,Undirected,17617,,1
2665,6915,Undirected,17618,,1
154,4791,Undirected,17619,,1
7631,7680,Undirected,17620,,1
7690,7709,Undirected,17621,,1
4984,659,Undirected,17622,,1
2854,6676,Undirected,17623,,1
1763,1770,Undirected,17624,,1
2785,6145,Undirected,17625,,1
2926,513,Undirected,17626,,1
4034,4107,Undirected,17627,,1
1592,5845,Undirected,17628,,1
7353,8549,Undirected,17629,,1
1545,4005,Undirected,17630,,1
3662,6592,Undirected,17631,,1
2749,954,Undirected,17632,,1
1644,2677,Undirected,17633,,1
457,480,Undirected,17634,,1
3850,3853,Undirected,17635,,1
6722,7730,Undirected,17636,,1
2233,4267,Undirected,17637,,1
8081,8563,Undirected,17638,,1
3851,5866,Undirected,17639,,1
518,662,Undirected,17640,,1
7664,7671,Undirected,17641,,1
7709,7715,Undirected,17642,,1
