UID1,UID2
1403,5867
210,4671
2708,6906
2865,4883
3157,488
6986,7854
426,989
7546,7895
7255,7584
8559,8840
7176,8280
3705,3791
2807,2952
1785,4044
7044,7681
3958,5103
163,182
5249,6896
7153,7867
7510,7676
7477,8459
7301,7758
6976,7612
6772,7540
1508,363
4044,4145
7844,8434
1004,999
2559,3328
7706,8318
1162,3055
2363,2858
1208,3839
7621,7970
3678,4133
2992,406
7758,8189
7406,7663
7253,7493
4155,6491
1952,266
7309,8109
159,879
3186,3871
23,5699
4913,5005
1699,6952
2433,4973
2889,6945
2367,4135
3331,4106
7012,7398
1770,4855
6989,7940
277,3128
7972,8084
6264,8279
6695,6704
1690,784
238,3686
2702,6577
8017,8662
3702,622
3291,6681
480,6151
3305,6955
3475,4164
2926,3835
1390,3275
1517,3314
7601,7971
3348,6681
2889,887
1552,4956
2399,5438
3054,6148
3549,3781
3470,5682
2697,6135
6780,7914
6609,750
5368,6122
4055,4520
3739,6929
1242,6394
4537,699
3559,3816
3806,656
4510,6263
7745,8067
7666,7690
1743,4195
1187,948
7463,8521
7610,7942
7963,8842
3059,3093
2290,5294
7656,7982
1697,811
7774,8059
3012,5372
3519,6194
211,802
7831,7921
7987,8771
6210,6267
8023,8045
2367,4561
3349,834
7567,8456
6249,637
3463,3636
4544,6000
4048,4441
119,2881
4872,5289
7494,7907
7152,7792
1040,6603
5637,6203
7492,7497
3657,4277
1785,4100
7339,8057
5862,948
6982,8859
6500,736
7758,7833
4812,6178
7601,8268
1953,2141
2443,263
1624,885
5049,6934
7061,7541
6820,8848
210,363
2816,5274
2668,6677
4223,5710
6817,7828
3046,4617
8594,8652
7415,8789
4969,991
4487,561
3572,3922
3320,6209
3751,6289
406,887
7540,8840
1668,5650
1359,2566
7296,7306
7552,7930
7599,8396
2265,6067
2249,4013
402,5867
1694,5549
7432,7995
5724,5867
1543,242
488,5709
4805,904
2736,920
2436,4957
6280,6389
3191,4513
1457,5257
3100,5123
3300,3363
3777,4421
3010,5208
2926,3229
406,5638
297,4187
2469,4357
2757,6138
1784,3823
7616,8175
2796,2926
5720,6484
4013,4153
1188,2889
2665,4934
3303,5741
5965,6269
2992,5638
7844,8102
2380,2892
6999,7624
6816,7518
