Authors,Title
"Zarif Ikram,  Dianbo Liu,  M Saifur Rahman,  Antibody sequence optimization with gradient-guided discrete walk-jump sampling,  Generative and Experimental Perspectives for Biomolecular Design (GEM) workshop at at the 12th International Conference on Learning Representations (ICLR)",
"Abrar Rahman Abir,  Md Toki Tahmid,  M Saifur Rahman,  Multi-Label Contrastive Learning Augmented mRNA Subcellular Localization Prediction Leveraging RNA Language Model,  Intelligent Systems For Molecular Biology (ISMB) 2024,  iRNA COSI Track",
"Abrar Rahman Abir,  Rafiqul Islam Rayan,  Md Toki Tahmid,  M Saifur Rahman,  Deciphering the Twists of RNA: RNA Torsion Angle Prediction with Attention-Inception Leveraging RNA Language Model,  Intelligent Systems For Molecular Biology (ISMB) 2024,  iRNA COSI Track",
"Abrar Rahman Abir,  Md Toki Tahmid,  M Saifur Rahman,  LOCAS: Multi-label mRNA Localization with Supervised Contrastive Learning,  Machine Learning for Structural Biology Workshop,  NeurIPS 2024",
"Rabina Awal,  Mahmuda Naznin,  Tanvir R. Faisal,  Machine Learning Based Finite Element Analysis (FEA) Surrogate for Hip Fracture Risk Assessment and Visualization,  Expert Systems with Applications,  ,  (Impact Factor 7.5),  (accepted)",
"Saha Gourab and Sawmya Shashata and Saha Arpita and Akil Md Ajwad and Tasnim Sadia and Rahman Md Saifur and Rahman M Sohel,  PRIEST: predicting viral mutations with immune escape capability of SARS-CoV-2 using temporal evolutionary information,  Briefings in Bioinformatics,  25,  bbae218",
"Zarif Ikram,  Dianbo Liu,  M Saifur Rahman,  Gradient-guided discrete walk-jump sampling for biological sequence generation,  Transactions on Machine Learning Research,  12/2024,  1-24",
"Sheikh Azizul Hakim,  Md Rownok Zahan Ratul,  Md Shamsuzzoha Bayzid,  wQFM-DISCO: DISCO-enabled wQFM improves phylogenomic analyses despite the presence of paralogs,  Bioinformatics Advances",
"Mursalin Habib* and Kowshic Roy* and Saem Hasan* and Atif Hasan Rahman and Md Shamsuzzoha Bayzid,  Terraces in species tree inference from gene trees,  BMC Ecology and Evolution,  24,  135",
"Ramisa Alam,  Sazan Mahbub,  Md Shamsuzzoha Bayzid,  Pair-EGRET: enhancing the prediction of protein–protein interaction sites through graph attention networks and protein language models,  Bioinformatics,  40,  btae588",
"Sadia Sharmin,  Evolution of user behaviour on social media during 2018 road safety movement in Bangladesh,  Social Network Analysis and Mining,  14,  1-20",
"Farhin Faiza Neha,  Yuan-Cheng Lai,  Md. Shohrab Hossain and Ying-Dar Lin,  Prioritization and offloading in P4 switch integrated with NFV,  Telecommunication Systems,  1--14",
"Ratul Sikder,  Md. Shohrab Hossain,  Mohammed J.F. Alenazi and Mohammed Atiquzzaman,  A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks,  Cluster Computing,  1--18",
"Asad Ali,  Minhajul Islam,  Tushin Mallick,  Mohammad Sakibul Islam,  Sadman Sakib,  Md. Shohrab Hossain and Ying-Dar Lin,  3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility,  Computer Communications,  222,  220--229",
"Mohammad Shamim Ahsan,  Md. Shariful Islam,  Md. Shohrab Hossain,  Anupam Das,  Detecting Smart Home Device Activities Using Packet-Level Signatures from Encrypted Traffic,  IEEE Transactions on Dependable and Secure Computing,  1--12",
