Author Name,Author ID
Iqbal H. Sarker Iqbal H. Sarker,CU_Iqbal_H._Sarker_Iqbal_H._Sarker
Iqbal Hasan Sarker,CU_Iqbal_Hasan_Sarker
J.-H. Lee and J.-H. Park,CU_J.-H._Lee_and_J.-H._Park
Jae Hyun Ryu,CU_Jae_Hyun_Ryu
Jobayer Sheikh and Md. Jihan Al Rashid,CU_Jobayer_Sheikh_and_Md._Jihan_Al_Rashid
Josef Pieprzyk and Asaduzzaman,CU_Josef_Pieprzyk_and_Asaduzzaman
Jung-Won Kim,CU_Jung-Won_Kim
K Deb,CU_K_Deb
K. A Sathi,CU_K._A_Sathi
K. Deb,CU_K._Deb
KAUSHIK DEB,CU_KAUSHIK_DEB
Kang,CU_Kang
Kang Hyun Jo,CU_Kang_Hyun_Jo
Kang-Hyun Jo,CU_Kang-Hyun_Jo
Kartini Rahmat,CU_Kartini_Rahmat
Kaushik Deb,CU_Kaushik_Deb
Kaushik Deb and Ashraful Huq Suny,CU_Kaushik_Deb_and_Ashraful_Huq_Suny
Kaushik Deb and Kang-Hyun Jo,CU_Kaushik_Deb_and_Kang-Hyun_Jo
Kaushik Deb and Thomas Chowdhury,CU_Kaushik_Deb_and_Thomas_Chowdhury
Kaushik Deb and V. L. Tokarev,CU_Kaushik_Deb_and_V._L._Tokarev
Kaushik-Deb,CU_Kaushik-Deb
Kayasar Md. Mahedi,CU_Kayasar_Md._Mahedi
Kazi Anika Hossain Naima,CU_Kazi_Anika_Hossain_Naima
Kazi Zakia Sultana,CU_Kazi_Zakia_Sultana
Kazi Zakia Sultana and Tahmina Khanam,CU_Kazi_Zakia_Sultana_and_Tahmina_Khanam
Khaleque Md Aashiq Kamal,CU_Khaleque_Md_Aashiq_Kamal
Kheng Seang Lim,CU_Kheng_Seang_Lim
Khondoker Nazibul Hossain,CU_Khondoker_Nazibul_Hossain
Kishor Roy,CU_Kishor_Roy
L. Alam,CU_L._Alam
Lamia Alam and Mohammed Moshiul Hoque,CU_Lamia_Alam_and_Mohammed_Moshiul_Hoque
Lindsay Kleeman,CU_Lindsay_Kleeman
Linkon Chowdhury,CU_Linkon_Chowdhury
Linkon Chowdhury and Mohammad Shamsul Arefin,CU_Linkon_Chowdhury_and_Mohammad_Shamsul_Arefin
M,CU_M
M .M. Hoque,CU_M_.M._Hoque
M F. Kader and I H. Sarker,CU_M_F._Kader_and_I_H._Sarker
M M Hoque,CU_M_M_Hoque
M. A Hossain,CU_M._A_Hossain
M. A. A. Dewan,CU_M._A._A._Dewan
M. A. A. Dewan and N. Siddique,CU_M._A._A._Dewan_and_N._Siddique
M. A. Hossain,CU_M._A._Hossain
M. A.F.M. R. Hasan,CU_M._A.F.M._R._Hasan
M. F. Faruque,CU_M._F._Faruque
M. F. Kader,CU_M._F._Kader
M. G. R. Alam and M. M. Hoque,CU_M._G._R._Alam_and_M._M._Hoque
M. I. Pramanik,CU_M._I._Pramanik
M. K. Hassan and M. M. U. Karim,CU_M._K._Hassan_and_M._M._U._Karim
M. M Hoque,CU_M._M_Hoque
M. M. Ahammed and M. M. U. Hasan,CU_M._M._Ahammed_and_M._M._U._Hasan
M. M. Anwar,CU_M._M._Anwar
M. M. Hoque,CU_M._M._Hoque
M. M. Hoque & M. H. Furhad,CU_M._M._Hoque_&_M._H._Furhad
M. M. Hoque and M. A. Sarif,CU_M._M._Hoque_and_M._A._Sarif
M. M. Hoque and M. K. Hassan,CU_M._M._Hoque_and_M._K._Hassan
M. M. Rahaman,CU_M._M._Rahaman
M. M. S. Kowsar,CU_M._M._S._Kowsar
M. M. S. Kowsar and K. Deb,CU_M._M._S._Kowsar_and_K._Deb
M. M. U. Hasan,CU_M._M._U._Hasan
M. Moshiul Hoque,CU_M._Moshiul_Hoque
M. N. Uddin,CU_M._N._Uddin
M. O. Faruk,CU_M._O._Faruk
M. R Hossain,CU_M._R_Hossain
M. R. Hossain,CU_M._R._Hossain
M. S. Arefin,CU_M._S._Arefin
M. S. Arefin and M. A. Siddique,CU_M._S._Arefin_and_M._A._Siddique
M. S. Arefin and M. O. Rahman,CU_M._S._Arefin_and_M._O._Rahman
M. S. Arefin and M. S. Kowser,CU_M._S._Arefin_and_M._S._Kowser
M. S. Arefin and Y. Morimoto,CU_M._S._Arefin_and_Y._Morimoto
M. S. Hossain and Asaduzzaman,CU_M._S._Hossain_and_Asaduzzaman
M. T. Islam and K. Dev,CU_M._T._Islam_and_K._Dev
M.A.,CU_M.A.
M.A.H. Bhuiyan and Kaushik Deb,CU_M.A.H._Bhuiyan_and_Kaushik_Deb
M.M.,CU_M.M.
M.M.R.,CU_M.M.R.
M.S. Kowsar and Kaushik Deb,CU_M.S._Kowsar_and_Kaushik_Deb
M.T. Islam,CU_M.T._Islam
MD Muhyminul Haque,CU_MD_Muhyminul_Haque
MD. ATIQUL ISLAM RIZVI,CU_MD._ATIQUL_ISLAM_RIZVI
MD. IBRAHIM KHAN,CU_MD._IBRAHIM_KHAN
MIR MD. SAKI KOWSAR,CU_MIR_MD._SAKI_KOWSAR
MM Hoque,CU_MM_Hoque
Mahfuzulhoq Chowdhury,CU_Mahfuzulhoq_Chowdhury
Mahfuzulhoq Chowdhury and Asaduzzaman,CU_Mahfuzulhoq_Chowdhury_and_Asaduzzaman
Mahibul Abdullah Ibne Momin,CU_Mahibul_Abdullah_Ibne_Momin
Maisha Maimuna,CU_Maisha_Maimuna
Maliha Momtaz Islam,CU_Maliha_Momtaz_Islam
Mamun,CU_Mamun
Manolya Kavakli and Md. Mokammel Haque,CU_Manolya_Kavakli_and_Md._Mokammel_Haque
Mas S Mohktar,CU_Mas_S_Mohktar
Masuma Akter Rumi,CU_Masuma_Akter_Rumi
Md Al-Mamun Provath,CU_Md_Al-Mamun_Provath
Md Ashiqur Rahman,CU_Md_Ashiqur_Rahman
Md Badiuzzaman Biplob and Md. Mokammel Haque,CU_Md_Badiuzzaman_Biplob_and_Md._Mokammel_Haque
Md Fazlul Kader,CU_Md_Fazlul_Kader
Md Junayed Hasan,CU_Md_Junayed_Hasan
Md Khaliluzzaman,CU_Md_Khaliluzzaman
Md Mahadi Hasan,CU_Md_Mahadi_Hasan
Md Mokammel Haque,CU_Md_Mokammel_Haque
Md Mokammel Haque and Josef Pieprzyk,CU_Md_Mokammel_Haque_and_Josef_Pieprzyk
Md Shihab Hossain,CU_Md_Shihab_Hossain
Md. Abdul Quaum,CU_Md._Abdul_Quaum
Md. Akber Hossain,CU_Md._Akber_Hossain
Md. Ashikur Rahaman,CU_Md._Ashikur_Rahaman
Md. Ashiqur Rahman,CU_Md._Ashiqur_Rahman
Md. Asif Iqbal and Md. Mokammel Haque,CU_Md._Asif_Iqbal_and_Md._Mokammel_Haque
Md. Asiful Islam,CU_Md._Asiful_Islam
Md. Atiqul islam rizvi,CU_Md._Atiqul_islam_rizvi
Md. Azhar Uddin,CU_Md._Azhar_Uddin
Md. Billal Hossain,CU_Md._Billal_Hossain
Md. Fazlul Kader,CU_Md._Fazlul_Kader
Md. Fazlul Kader and Kaushik Deb,CU_Md._Fazlul_Kader_and_Kaushik_Deb
Md. Fazlul Kader and Mohammad Obaidur Rahman,CU_Md._Fazlul_Kader_and_Mohammad_Obaidur_Rahman
Md. Habibur Rahman,CU_Md._Habibur_Rahman
Md. Ibrahim Khan,CU_Md._Ibrahim_Khan
Md. Iqbal Hasan Sarker,CU_Md._Iqbal_Hasan_Sarker
Md. Kamrul Hossain,CU_Md._Kamrul_Hossain
Md. Kamrul Hossain and Md. Mokammel Haque,CU_Md._Kamrul_Hossain_and_Md._Mokammel_Haque
Md. Khaliluzzaman,CU_Md._Khaliluzzaman
Md. Khaliluzzaman Kaushik Deb,CU_Md._Khaliluzzaman_Kaushik_Deb
Md. Khaliluzzaman and Kaushik Deb,CU_Md._Khaliluzzaman_and_Kaushik_Deb
Md. Mahammud Ali and Kang-Hyun Jo,CU_Md._Mahammud_Ali_and_Kang-Hyun_Jo
Md. Mokammel Haque,CU_Md._Mokammel_Haque
Md. Mokammel Haque and Choong Seon Hong,CU_Md._Mokammel_Haque_and_Choong_Seon_Hong
Md. Mokammel Haque and Josef Pieprzyk,CU_Md._Mokammel_Haque_and_Josef_Pieprzyk
Md. Mokammel Haque and M. Ali Akber Dewan,CU_Md._Mokammel_Haque_and_M._Ali_Akber_Dewan
