Author Name,Author ID
afroza yasmin,AIUB_afroza_yasmin
afroza; bin-faisal,AIUB_afroza;_bin-faisal
afsah sharmin,AIUB_afsah_sharmin
afsara tasnim,AIUB_afsara_tasnim
agnieszka jastrzębska,AIUB_agnieszka_jastrzębska
ahamd i. m. ismail,AIUB_ahamd_i._m._ismail
ahmed,AIUB_ahmed
ahmed afif monrat,AIUB_ahmed_afif_monrat
ahmed shahriar sakib,AIUB_ahmed_shahriar_sakib
ahmed sikder,AIUB_ahmed_sikder
ai md. ismail,AIUB_ai_md._ismail
aim ismail,AIUB_aim_ismail
aim ismail.,AIUB_aim_ismail.
aiman lameesa,AIUB_aiman_lameesa
aishwarjyo roy,AIUB_aishwarjyo_roy
ajlina karamehic-muratovic,AIUB_ajlina_karamehic-muratovic
ajmayeen adil,AIUB_ajmayeen_adil
akash mamon sarkar,AIUB_akash_mamon_sarkar
akibur rahman,AIUB_akibur_rahman
akinul islam jony,AIUB_akinul_islam_jony
aklima a. lima,AIUB_aklima_a._lima
aklima akter,AIUB_aklima_akter
aklima akter lima,AIUB_aklima_akter_lima
akm lutfor rahman,AIUB_akm_lutfor_rahman
akm moinul haque meaze1 and humayra ferdous,AIUB_akm_moinul_haque_meaze1_and_humayra_ferdous
akml rahman,AIUB_akml_rahman
akramkhan rony,AIUB_akramkhan_rony
al bakin tushar,AIUB_al_bakin_tushar
al sohan,AIUB_al_sohan
alessandra donofrio,AIUB_alessandra_donofrio
alfarhood s,AIUB_alfarhood_s
aloke kumar saha,AIUB_aloke_kumar_saha
amel ksibi,AIUB_amel_ksibi
amena ferdosui,AIUB_amena_ferdosui
amena ferdousi,AIUB_amena_ferdousi
ami akter1,AIUB_ami_akter1
aminun nahar jhumur,AIUB_aminun_nahar_jhumur
amit banerjee,AIUB_amit_banerjee
and a. a. mamun,AIUB_and_a._a._mamun
and a.j.s. ahammad,AIUB_and_a.j.s._ahammad
and afroza nahar,AIUB_and_afroza_nahar
and ahmed tanvir,AIUB_and_ahmed_tanvir
and aloke kumar saha,AIUB_and_aloke_kumar_saha
and anwar hussen wadud,AIUB_and_anwar_hussen_wadud
and debajyoti karmaker,AIUB_and_debajyoti_karmaker
and dunren che,AIUB_and_dunren_che
and dunren che.,AIUB_and_dunren_che.
and jaekook kim*,AIUB_and_jaekook_kim*
and jaekook kim*†orcid,AIUB_and_jaekook_kim*†orcid
and jamal uddin,AIUB_and_jamal_uddin
and jee-hyeon na,AIUB_and_jee-hyeon_na
and kamruddin nur,AIUB_and_kamruddin_nur
and ken-ichi iimura1,AIUB_and_ken-ichi_iimura1
and ken-ichi shimizu,AIUB_and_ken-ichi_shimizu
and liton jude rozario,AIUB_and_liton_jude_rozario
and m. f. mridha,AIUB_and_m._f._mridha
and m. f. mridha.,AIUB_and_m._f._mridha.
and m. i. pramanik,AIUB_and_m._i._pramanik
and m. m. . rahman,AIUB_and_m._m._._rahman
and m. n. i. khan,AIUB_and_m._n._i._khan
and mayeen uddin khandaker,AIUB_and_mayeen_uddin_khandaker
and md abdus samad,AIUB_and_md_abdus_samad
and md akhtaruzzaman adnan,AIUB_and_md_akhtaruzzaman_adnan
and md. abdul hamid,AIUB_and_md._abdul_hamid
and md. fakhrul islam,AIUB_and_md._fakhrul_islam
and md. habib ullah,AIUB_and_md._habib_ullah
and md. manzurul hasan,AIUB_and_md._manzurul_hasan
and md. manzurul hasan.,AIUB_and_md._manzurul_hasan.
and md. mohsin kabir,AIUB_and_md._mohsin_kabir
and md. nazmul hossain,AIUB_and_md._nazmul_hossain
and md. saidur rahman,AIUB_and_md._saidur_rahman
and md. shafiul islam,AIUB_and_md._shafiul_islam
and md. siyamul islam,AIUB_and_md._siyamul_islam
and michael vassallo,AIUB_and_michael_vassallo
and mimun barid.,AIUB_and_mimun_barid.
and mridha,AIUB_and_mridha
and muhammad firoz mridha,AIUB_and_muhammad_firoz_mridha
and muhammad mohsin kabir,AIUB_and_muhammad_mohsin_kabir
and nihad karim chowdhury,AIUB_and_nihad_karim_chowdhury
and nur d. k,AIUB_and_nur_d._k
and p. a. robinson,AIUB_and_p._a._robinson
and r. mahmud,AIUB_and_r._mahmud
and rafael pous,AIUB_and_rafael_pous
and rifath mahmud,AIUB_and_rifath_mahmud
and sangchul oh,AIUB_and_sangchul_oh
and soumen basu,AIUB_and_soumen_basu
and tanvir ahmed.,AIUB_and_tanvir_ahmed.
and tanvir hossain.,AIUB_and_tanvir_hossain.
and tanzila mehenaz,AIUB_and_tanzila_mehenaz
and tasveer a. bég,AIUB_and_tasveer_a._bég
and umme salma,AIUB_and_umme_salma
and y. haque,AIUB_and_y._haque
and yoshimine kato,AIUB_and_yoshimine_kato
and yutaka watanobe,AIUB_and_yutaka_watanobe
anders avdic,AIUB_anders_avdic
aneem al ahsan rupai,AIUB_aneem_al_ahsan_rupai
aneem-al-ahsan rupai,AIUB_aneem-al-ahsan_rupai
angela caroli,AIUB_angela_caroli
angkita mistry tama,AIUB_angkita_mistry_tama
anik islam,AIUB_anik_islam
anik sen,AIUB_anik_sen
anika saba ibte sum,AIUB_anika_saba_ibte_sum
anika tabassum 3 syed nafiul shefat 4,AIUB_anika_tabassum_3_syed_nafiul_shefat_4
anima baroi,AIUB_anima_baroi
anjir ahmed chowdhury,AIUB_anjir_ahmed_chowdhury
anjir ahmed chowdhury; md abir hossen; md ali azam; md hafizur rahman,AIUB_anjir_ahmed_chowdhury;_md_abir_hossen;_md_ali_azam;_md_hafizur_rahman
anna carreras,AIUB_anna_carreras
annalisa drigo andpaola chiovati,AIUB_annalisa_drigo_andpaola_chiovati
anowar hosen2,AIUB_anowar_hosen2
anupam kumar bairagi,AIUB_anupam_kumar_bairagi
anwarul kabir,AIUB_anwarul_kabir
arafat islam,AIUB_arafat_islam
areef billah,AIUB_areef_billah
argho das,AIUB_argho_das
arif reza anwary,AIUB_arif_reza_anwary
ariyan jahangir,AIUB_ariyan_jahangir
arjun chandra bhowmick,AIUB_arjun_chandra_bhowmick
arora,AIUB_arora
arpona,AIUB_arpona
arupkumar das,AIUB_arupkumar_das
asad abbas,AIUB_asad_abbas
aseya khanom,AIUB_aseya_khanom
ashadu jaman shawon 1,AIUB_ashadu_jaman_shawon_1
ashfia jannat,AIUB_ashfia_jannat
ashfia jannat keya,AIUB_ashfia_jannat_keya
ashraf uddin,AIUB_ashraf_uddin
ashraful goni,AIUB_ashraful_goni
atika farzana urmi,AIUB_atika_farzana_urmi
authors: anika tahsin,AIUB_authors:_anika_tahsin
avijit saha apu,AIUB_avijit_saha_apu
awwal hussain nuhu,AIUB_awwal_hussain_nuhu
ayan mukherjee,AIUB_ayan_mukherjee
ayesha amin,AIUB_ayesha_amin
ayesha siddiqua,AIUB_ayesha_siddiqua
ayesha u,AIUB_ayesha_u
ayman hasib,AIUB_ayman_hasib
azam che idris,AIUB_azam_che_idris
azam che idris and pg emeroylariffion abas,AIUB_azam_che_idris_and_pg_emeroylariffion_abas
azizul azhar ramli,AIUB_azizul_azhar_ramli
azm ehtesham chowdhury,AIUB_azm_ehtesham_chowdhury
azraf faheem,AIUB_azraf_faheem
b saha,AIUB_b_saha
b. gul,AIUB_b._gul
b. himabindu,AIUB_b._himabindu
b. rajini kanth,AIUB_b._rajini_kanth
b. rajini kanth and p. k. mukhopadhyay,AIUB_b._rajini_kanth_and_p._k._mukhopadhyay
b.-h.,AIUB_b.-h.
b.s.; rahman,AIUB_b.s.;_rahman
ba begum,AIUB_ba_begum
balaji sambandam,AIUB_balaji_sambandam
banshal,AIUB_banshal
barnana pal and p k mukhopadhyay,AIUB_barnana_pal_and_p_k_mukhopadhyay
barnana pal and p. k. mukhopadhyay,AIUB_barnana_pal_and_p._k._mukhopadhyay
bashir ahmmad,AIUB_bashir_ahmmad
bayzid ashik hossain,AIUB_bayzid_ashik_hossain
beg oa,AIUB_beg_oa
beg tv,AIUB_beg_tv
bhattacharya,AIUB_bhattacharya
bhoguju rajini kanth,AIUB_bhoguju_rajini_kanth
bhoosreddy,AIUB_bhoosreddy
bijoya bose,AIUB_bijoya_bose
bikash kumar paul,AIUB_bikash_kumar_paul
