Author Name,Author ID,UID
u.,aiub_author_1357,290
u.,aiub_author_1357,290
m.,aiub_author_1358,70
m.,aiub_author_1358,70
hossain,aiub_author_1359,17
hossain,aiub_author_1359,17
tasmia,aiub_author_1360,291
hossain,aiub_author_1361,17
m.,aiub_author_1362,70
m.,aiub_author_1362,70
senthilkumar,aiub_author_1363,292
tateishi,aiub_author_1364,293
moushumi,aiub_author_1365,294
moushumi,aiub_author_1366,294
jahan,aiub_author_1367,295
chowdhury,aiub_author_1368,9
mamun,aiub_author_1369,14
osman,aiub_author_137,296
abdus,aiub_author_1370,68
mohammad,aiub_author_1371,32
nasim,aiub_author_1372,297
rehana,aiub_author_1373,298
bipasha,aiub_author_1374,299
murshed,aiub_author_1375,300
tajnin,aiub_author_1376,301
kamruzzaman,aiub_author_1377,302
parveen,aiub_author_1378,303
m.m.a.,aiub_author_1379,304
debasis,aiub_author_138,305
m.j.h.,aiub_author_1380,306
bhowmik,aiub_author_1381,307
karim,aiub_author_1382,308
bhuyana,aiub_author_1383,309
subrata,aiub_author_1385,310
mohammed,aiub_author_1386,39
razuan,aiub_author_1387,311
chowdhury,aiub_author_1388,9
mannan,aiub_author_1389,312
mohammed,aiub_author_139,39
jahidabinte,aiub_author_1390,313
satoshi.,aiub_author_1391,314
rahman,aiub_author_1392,196
sarkar,aiub_author_1393,315
rahman,aiub_author_1394,196
abdus,aiub_author_1395,68
bhowmick,aiub_author_1396,316
tanmoy,aiub_author_1397,317
bhoguju,aiub_author_1398,318
mukhopadhyay,aiub_author_1399,289
sahosh,aiub_author_14,319
abdul,aiub_author_140,44
gokul,aiub_author_1400,320
gokul,aiub_author_1400,320
mohammad,aiub_author_1402,32
al-shaikhli,aiub_author_1403,16
afidalina,aiub_author_1404,321
dilruba,aiub_author_1405,322
saiful,aiub_author_1406,281
fatema,aiub_author_1408,323
mohammed,aiub_author_1409,39
tasveer,aiub_author_141,324
ismail,aiub_author_1410,83
zohra,aiub_author_1411,325
basir,aiub_author_1412,326
ismail.,aiub_author_1413,327
salahuddin,aiub_author_1414,328
shahidul,aiub_author_1415,135
nadia,aiub_author_1416,329
shakilur,aiub_author_1417,330
siddiqua,aiub_author_1418,331
santunu,aiub_author_1419,332
mohammed,aiub_author_142,39
kawchar,aiub_author_1420,333
saiful,aiub_author_1422,281
sambandam,aiub_author_1424,334
yunianto,aiub_author_1425,157
sungjin,aiub_author_1426,250
jeonggeun,aiub_author_1427,335
seokhun,aiub_author_1428,159
ashadu,aiub_author_143,336
saiful,aiub_author_1430,281
jun,aiub_author_1431,337
touchy,aiub_author_1432,338
shunsaku,aiub_author_1433,339
s.m.a.hakim,aiub_author_1434,340
sharmin,aiub_author_1435,241
ken-ichi,aiub_author_1436,176
siddiki,aiub_author_1437,171
ting,aiub_author_1438,341
touchy,aiub_author_1439,338
numobi,aiub_author_1440,342
hossain,aiub_author_1441,17
akramkhan,aiub_author_1442,343
seungmin,aiub_author_1443,344
jinsul,aiub_author_1444,345
mukta,aiub_author_1445,346
xiao,aiub_author_1446,164
robinson,aiub_author_1447,347
mahjabin,aiub_author_1448,348
laxmikanta,aiub_author_1449,349
anondo,aiub_author_145,350
debajyoti,aiub_author_1450,264
banerjee,aiub_author_1451,351
debajyoti,aiub_author_1452,264
soumen,aiub_author_1453,352
suresh,aiub_author_1454,353
shovan,aiub_author_1455,236
subir,aiub_author_1456,354
angappane,aiub_author_1457,355
choudhary,aiub_author_1458,356
tanzia,aiub_author_1461,357
raihan,aiub_author_1462,358
jahangir,aiub_author_1463,359
prodip,aiub_author_1464,360
masuduzzaman,aiub_author_1466,361
abbas,aiub_author_1467,362
anders,aiub_author_1468,363
peng,aiub_author_1469,364
fayz-al-,aiub_author_147,365
mahmudulhasan,aiub_author_1470,366
ming,aiub_author_1471,367
marzia,aiub_author_1472,368
khadiza,aiub_author_1473,369
hossain2*,aiub_author_1474,370
hossain3,aiub_author_1475,371
kazuhisa,aiub_author_1476,372
chowdhury,aiub_author_1477,9
fatema,aiub_author_1478,323
jannatul,aiub_author_1479,373
sarker,aiub_author_148,63
bhuiyan,aiub_author_1480,374
mohammad,aiub_author_1481,32
manirul,aiub_author_1482,375
hasibul,aiub_author_1483,376
mehedi,aiub_author_1484,115
sungoh,aiub_author_1485,377
jee-hyeon,aiub_author_1486,378
sangchul,aiub_author_1487,379
shohag,aiub_author_1488,380
hossain,aiub_author_1489,17
adnan,aiub_author_149,381
suresh,aiub_author_1490,353
soumen,aiub_author_1491,352
mukherjee,aiub_author_1492,382
hossain,aiub_author_1493,17
hossain,aiub_author_1494,17
farzana,aiub_author_1495,139
rahima,aiub_author_1496,383
serajul,aiub_author_1497,384
toshifumi,aiub_author_1498,385
nobuhiro,aiub_author_1499,386
faheem,aiub_author_15,387
siddique,aiub_author_150,388
jeonggeun,aiub_author_1502,335
jun,aiub_author_1503,337
jun,aiub_author_1503,337
kwangho,aiub_author_1504,389
yuniantoputroavinodmathewasungjinkimajeonggeunjoaseokhunkimayang-kooksunckwanghokimdejaekookkima,aiub_author_1505,390
mathew,aiub_author_1506,391
yang-kook,aiub_author_1507,161
kwangho,aiub_author_1508,389
jaekook,aiub_author_1509,252
avijit,aiub_author_151,392
zohra,aiub_author_1510,325
jashim,aiub_author_1511,393
ismail,aiub_author_1512,83
anwar,aiub_author_1513,394
zohra,aiub_author_1514,325
kadir.,aiub_author_1516,395
sharifa,aiub_author_1517,396
muhammad,aiub_author_1518,208
al-shaikhli2,aiub_author_1519,397
abdullah,aiub_author_152,6
abdulkadir1,aiub_author_1520,398
mohammad,aiub_author_1521,32
al-shaikhli2,aiub_author_1522,397
rizal,aiub_author_1523,399
varadarajan4,aiub_author_1524,400
abdullah,aiub_author_1526,6
manifa,aiub_author_1527,401
atique,aiub_author_1528,402
matin,aiub_author_1529,23
myesha,aiub_author_153,403
akter,aiub_author_1531,404
akter,aiub_author_1531,404
bhowmick,aiub_author_1532,316
uddin,aiub_author_1533,117
sarkar,aiub_author_1534,315
zainal,aiub_author_1535,405
siddiquee,aiub_author_1536,406
bhuyan,aiub_author_1537,407
mohammad,aiub_author_1538,32
andersson,aiub_author_1539,408
sultanul,aiub_author_154,409
basith,aiub_author_1540,28
billah,aiub_author_1541,410
jalil,aiub_author_1542,411
nilufar,aiub_author_1543,61
mashnoon,aiub_author_1544,412
emran,aiub_author_1545,413
s.m.enamul,aiub_author_1546,414
chowdhury,aiub_author_1547,9
shakhawat,aiub_author_1548,272
bashir,aiub_author_1549,415
rahman,aiub_author_155,196
islam,aiub_author_1552,214
anwarul,aiub_author_1554,258
muhammad,aiub_author_1555,208
mathew,aiub_author_1556,391
jinju,aiub_author_1557,416
joseph,aiub_author_1558,417
duong,aiub_author_1559,418
aditya,aiub_author_156,419
tungphamjeonggeunjoseokhunkimvinodmathewjoseph,aiub_author_1561,420
alfaruqi†‡,aiub_author_1564,421
mathew†‡,aiub_author_1565,422
jinju,aiub_author_1566,416
sungjin,aiub_author_1567,250
saiful,aiub_author_1568,281
duong,aiub_author_1569,418
chakraborty,aiub_author_157,423
jeonggeun,aiub_author_1570,335
seokhun,aiub_author_1571,159
joseph,aiub_author_1572,417
zhiliang,aiub_author_1573,424
kug-seung,aiub_author_1574,425
yang-kook,aiub_author_1575,161
kim*†orcid,aiub_author_1576,426
akhtaruzzaman,aiub_author_1577,427
akhtaruzzaman,aiub_author_1578,427
sabbir,aiub_author_1579,55
tabassum,aiub_author_158,428
chowdhury,aiub_author_1580,9
muhammad,aiub_author_1581,208
kamruzzaman,aiub_author_1582,302
fahad,aiub_author_1583,429
jamsher,aiub_author_1584,430
israt,aiub_author_1585,431
mahfuzur,aiub_author_1586,432
mohammad,aiub_author_1587,32
marufuzzaman,aiub_author_1588,433
atikur,aiub_author_1589,434
abdullah,aiub_author_159,6
mohammad,aiub_author_1590,32
farzana,aiub_author_1591,139
mahadeb,aiub_author_1592,435
bhoosreddy,aiub_author_1593,436
j.,aiub_author_1594,437
j.,aiub_author_1594,437
marisha,aiub_author_1595,438
solanki,aiub_author_1596,439
solanki,aiub_author_1596,439
t.,aiub_author_1597,440
t.,aiub_author_1597,440
rupika,aiub_author_1598,441
rupika,aiub_author_1598,441
mohammad,aiub_author_1599,32
marzana,aiub_author_16,442
singh,aiub_author_160,91
ezazul,aiub_author_1600,443
shohag,aiub_author_1601,380
hiralal,aiub_author_1602,444
manjurul,aiub_author_1603,72
salma,aiub_author_1604,445
tasnim,aiub_author_1605,446
shovra,aiub_author_1606,447
riashat,aiub_author_1607,448
mohammod,aiub_author_1608,449
humaira,aiub_author_1609,450
haque,aiub_author_161,129
fahad,aiub_author_1610,429
abdul,aiub_author_1611,44
habib,aiub_author_1612,451
saidul,aiub_author_1614,452
mohammad,aiub_author_1615,32
nurun,aiub_author_1616,453
ohtani,aiub_author_1617,454
nakamura,aiub_author_1618,455
koinuma,aiub_author_1619,456
nishat,aiub_author_162,457
shinya,aiub_author_1620,458
alamgir,aiub_author_1621,167
israt,aiub_author_1622,431
uddin,aiub_author_1623,117
khan,aiub_author_1624,67
khan,aiub_author_1624,67
taimur,aiub_author_1625,459
zubair,aiub_author_1626,460
hussain,aiub_author_1627,461
fakhrul,aiub_author_1628,462
zubair,aiub_author_1629,460
tarif,aiub_author_163,463
rubayyat,aiub_author_1630,464
fakhrul,aiub_author_1631,462
iftekharul,aiub_author_1632,465
abid-ar-rafi,aiub_author_1633,466
sushanta,aiub_author_1635,467
islam,aiub_author_1636,214
ahmed,aiub_author_1637,5
jahan,aiub_author_1638,295
moniruzzaman,aiub_author_1639,27
mukhopadhyay,aiub_author_164,289
saha,aiub_author_1640,468
saha,aiub_author_1640,468
bhoumik,aiub_author_1641,469
monrat,aiub_author_1642,470
mamun,aiub_author_1643,14
tanveer,aiub_author_1644,471
saifuddin,aiub_author_1645,472
jasim,aiub_author_1646,473
perveg,aiub_author_1647,474
mohammad,aiub_author_1648,32
mustafa,aiub_author_1649,60
hossain,aiub_author_165,17
chandra,aiub_author_1650,287
yusuf,aiub_author_1651,475
karim,aiub_author_1652,308
khalid,aiub_author_1653,476
mustafa,aiub_author_1654,60
bhuiyan,aiub_author_1655,374
nahid,aiub_author_1656,477
hossain,aiub_author_1657,17
mahfuzur,aiub_author_1658,432
naqib,aiub_author_1659,478
hossain,aiub_author_166,17
afsana,aiub_author_1660,479
borhan,aiub_author_1661,480
jahida,aiub_author_1662,481
sarkar,aiub_author_1663,315
lutfor,aiub_author_1664,482
shahin,aiub_author_1665,483
rahman,aiub_author_1666,196
begum,aiub_author_1667,484
bilkis,aiub_author_1668,485
jahan,aiub_author_1669,295
jahan,aiub_author_1669,295
khan,aiub_author_167,67
liton,aiub_author_1670,486
rutaba,aiub_author_1672,487
morenza-cinos,aiub_author_1673,488
carreras,aiub_author_1674,489
rafael,aiub_author_1675,490
rashied,aiub_author_1676,491
musfiqur,aiub_author_1677,492
krishna,aiub_author_1678,493
mridha,aiub_author_1679,218
sikder,aiub_author_168,25
anisul,aiub_author_1681,494
alamgir,aiub_author_1682,167
miah,aiub_author_1684,495
bhowmik,aiub_author_1686,307
imran,aiub_author_1687,496
rahman,aiub_author_1688,196
karmaker,aiub_author_1689,497
tanmoy,aiub_author_169,317
islam,aiub_author_1690,214
islam,aiub_author_1690,214
karmaker,aiub_author_1691,497
sabeth,aiub_author_1693,498
sabeth,aiub_author_1693,498
farzana,aiub_author_1694,139
farzana,aiub_author_1694,139
serajul,aiub_author_1695,384
endo,aiub_author_1696,499
endo,aiub_author_1696,499
tadashi,aiub_author_1697,500
tadashi,aiub_author_1697,500
ohta,aiub_author_1698,501
ohta,aiub_author_1698,501
nobuhiro,aiub_author_1699,386
istiaq,aiub_author_17,502
suravi,aiub_author_170,503
kalpoma,aiub_author_1700,504
shelley,aiub_author_1701,505
bhowmik,aiub_author_1702,307
nabila,aiub_author_1703,506
hossain,aiub_author_1705,17
mahmud,aiub_author_1706,40
musfiqur,aiub_author_1707,492
mamun,aiub_author_1708,14
el-aty,aiub_author_1709,507
jong-hyouk,aiub_author_1710,508
ho-chul,aiub_author_1711,509
nilufar,aiub_author_1712,61
tashmiah,aiub_author_1713,510
pinto,aiub_author_1714,511
pinto,aiub_author_1714,511
d.,aiub_author_1715,512
d.,aiub_author_1715,512
olmos,aiub_author_1716,513
olmos,aiub_author_1716,513
i.,aiub_author_1717,514
i.,aiub_author_1717,514
banshal,aiub_author_1718,515
banshal,aiub_author_1718,515
s.k.,aiub_author_1719,516
s.k.,aiub_author_1719,516
rafiqul,aiub_author_172,517
singhal,aiub_author_1720,518
singhal,aiub_author_1720,518
sultana,aiub_author_1721,173
islam,aiub_author_1722,214
mamun,aiub_author_1723,14
chandra,aiub_author_1724,287
pettersen,aiub_author_1725,519
ferdous,aiub_author_1726,232
kalvøy,aiub_author_1727,520
sharmin,aiub_author_1729,241
preetom,aiub_author_1730,521
mahbubul,aiub_author_1731,522
mehnaz,aiub_author_1732,523
shamsur,aiub_author_1733,524
muhammad,aiub_author_1734,208
gregory,aiub_author_1737,525
rahman,aiub_author_1738,196
gluyas,aiub_author_1739,526
iftekharul,aiub_author_174,465
dmitry,aiub_author_1740,527
judith,aiub_author_1741,528
paul,aiub_author_1742,529
sultana,aiub_author_1743,173
majadi,aiub_author_1744,530
lazima,aiub_author_1745,531
shamim,aiub_author_1746,532
sumaya,aiub_author_1747,533
intiaz-ud-din,aiub_author_1748,534
imtiaz-ud-din,aiub_author_1749,535
rafiqul,aiub_author_175,517
bhuiyan,aiub_author_1750,374
shamim,aiub_author_1751,532
fahin,aiub_author_1752,536
afroza,aiub_author_1753,186
yeaminar,aiub_author_1754,537
azizul,aiub_author_1755,538
farhan,aiub_author_1756,539
hira,aiub_author_1758,540
chowdhury,aiub_author_1759,9
kamruddin,aiub_author_176,219
ansary,aiub_author_1760,541
jakir,aiub_author_1761,542
hossain,aiub_author_1762,17
farhana,aiub_author_1763,543
siddique,aiub_author_1764,388
dhiman,aiub_author_1765,544
hassan,aiub_author_1766,22
borhan,aiub_author_1767,480
mushfiq,aiub_author_1768,545
asraful,aiub_author_1769,546
alfarhood,aiub_author_177,3
nahid,aiub_author_1770,477
hossain,aiub_author_1771,17
mahfuzur,aiub_author_1772,432
kawser,aiub_author_1773,547
shekha,aiub_author_1774,548
hossain,aiub_author_1775,17
hashem,aiub_author_1776,549
siddiquee,aiub_author_1777,406
sharmeen,aiub_author_1778,550
reazul,aiub_author_178,551
mijanur,aiub_author_1780,552
muhammad,aiub_author_1783,208
mohammad,aiub_author_1784,32
bodrunnesa,aiub_author_1786,553
ishteaque,aiub_author_1788,554
rezwan,aiub_author_1789,555
mayesha,aiub_author_179,556
