Author Name,Author ID
tarikul islam,aiub_author_0
md. fayz-al-asad,aiub_author_1
m. a. khatun,aiub_author_2
n. parveen,aiub_author_3
hijaz ahmed and sameh askarh,aiub_author_4
md. manzurul hasan,aiub_author_5
debajyoti mondal,aiub_author_6
and md. saidur rahman,aiub_author_7
md. khairul alam mazumder,aiub_author_8
m. f. mridha,aiub_author_9
sultan alfarhood,aiub_author_10
mejdl safran,aiub_author_11
md. abdullah-al-jubair,aiub_author_12
dunren che,aiub_author_13
zerin hasan sahosh,aiub_author_14
azraf faheem,aiub_author_15
marzana bintay tuba,aiub_author_16
md. istiaq ahmed,aiub_author_17
syeda anika tasnim,aiub_author_18
sristy shidul nath,aiub_author_19
razuan karim,aiub_author_20
sristy shidul nath and mahdi h. mirazand mahdi h. miraz,aiub_author_21
nusrat jahan anannya and md mehedi hasan,aiub_author_22
md. helal miah,aiub_author_23
mayeen uddin khandaker,aiub_author_24
mohammad aminul islam,aiub_author_25
mohammad nur-e-alam,aiub_author_26
hamid osman and md. habib ullah,aiub_author_27
md. roni islam,aiub_author_28
m. k. r. khan,aiub_author_29
md. sarowar hossain,aiub_author_30
m. m. rahman,aiub_author_31
m. mahbubul haque,aiub_author_32
m. aliuzzaman,aiub_author_33
m. k. alame and m. s. i. sarker,aiub_author_34
ashraful goni,aiub_author_35
md. umor faruk jahangir,aiub_author_36
rajarshi roy chowdhury,aiub_author_37
mohammad mahmudul hasan,aiub_author_38
marcelo corrales,aiub_author_39
george kousiouris,aiub_author_40
dimosthenis anagnostopoulos,aiub_author_41
bithi paul,aiub_author_42
w. a. khan,aiub_author_43
m.j. uddin,aiub_author_44
jahidul islam,aiub_author_45
mahmud shareef,aiub_author_46
rubel anwar,aiub_author_47
sajeda akter,aiub_author_48
md. habib ullah,aiub_author_49
hamid osman,aiub_author_50
ismail m.m. rahman,aiub_author_51
faisal islam chowdhury,aiub_author_52
md. faruk abdullah al sohan,aiub_author_53
rifat al mamun rudro,aiub_author_54
afroza nahar,aiub_author_55
rifath mahmud,aiub_author_56
md. nur alam,aiub_author_57
mujahid iqbal,aiub_author_58
mohammad hassan,aiub_author_59
muhammad sajjad hossain,aiub_author_60
cemil tunç,aiub_author_61
dipta gomes,aiub_author_62
md. tanvir hasan and mufti mahmud md. shamsul arefin,aiub_author_63
mohammed mostafizur rahman,aiub_author_64
md. arifuzzaman,aiub_author_65
