Title,Authors
Blind Image Watermarking in Canonical and Cepstrum Domains Based on 4-Connected t-o’clock Scrambling,"Farhana Shirin Chowdhury, Pranab Kumar Dhar , Kaushik Deb, and Takeshi Koshiba"
Door Detection Based on Haar Cascade Classifier and Visual Features Extraction,"Ahsan Sadee Tanim, Sharmistha Chanda Tista and Kaushik Deb"
Human Detection Based on HOG-LBP for Monitoring Sterile Zone,"Farjana Bintay Kamal, Sangita Mitra, Tahmina Khanam, Uzzal K. Acharjee, Dipankar Das, Kaushik Deb"
Illegally Parked Vehicle Detection Based on Haar-Cascade Classifier,"Aapan Mutsuddy, Kaushik Deb, Tahmina Khanam, and Kang-Hyun Jo"
A comparative study on handwritten Bangla character recognition,"Md. Atiqul islam rizvi, Kaushik Deb, Md. Ibrahim Khan, Mir Md. Saki Kowsar, Tahmina Khanam"
Human Detection Utilizing Adaptive Background Mixture Models and Improved Histogram of Oriented Gradients,"S. A. Chowdhury, M. M. S. Kowsar, and K. Deb"
Stairways Detection Based on Approach Evaluation and Vertical Vanishing Point,Md. Khaliluzzaman and Kaushik Deb
Baggage Recognition in Occluded Environment using Boosting Technique,Tahmina Khanam and Kaushik Deb
Detection and Tracking of Humans Based on Improved Histogram of Oriented Gradients and Kalman Filter,"S. A. Chowdhury, K. Deb, P. K. Dhar and M. A. F. M. R. Hasan"
MetaG: a graph-based metagenomic gene analysis for big DNA data,"Linkon Chowdhury, Mohammad Ibrahim Khan, Kaushik Deb, and Sarwar Kamal"
An Empirical Robotic Framework for Initiating Interaction with the Target Human in Multiparty Settings,"Md. Moshiul Hoque, Quazi Delwar Hossian, Kaushik Deb, Dipankar Das, Y. Kobayashi, and Y. Kuno"
Cast Shadow Detection and Removal of Moving Objects from Video Based on HSV Color Space,"Kaushik Deb, Animash Kar and Ashraful Huq Suny"
Detecting Anomalous Behavior of Credit Card Transaction using Statistical Approach,"Kaushik Deb, Kazi Zakia Sultana and Tahmina Khanam"
Shadow Detection and Removal Based on YCbCr Color Space,Kaushik Deb and Ashraful Huq Suny
A Motion Region Detection and Tracking Method,"Kaushik Deb, Sayem Mohammad Imtiaz, and Priyam Biswas"
DCT and DWT Based Robust Audio Watermarking Scheme for Copyright Protection,"Kaushik Deb, Md. Ashikur Rahaman, Kazi Zakia Sultana, Md. Iqbal Hasan Sarker, and Ui-Pil Chong"
Vehicle License Plate Detection and Tilt Correction Based on HSI Color Model and SUSAN Corner Detector,Muhammad Kamal Hossen and Kaushik Deb
Design A Robotic Head to Attract Human Attention by Considering Viewing Situations,"Md. Moshiul Hoque, Y. Kobayashi, Y. Kuno, and Kaushik Deb"
"Kaushik Deb, Md. Sajib Al-Seraj, and Ui-Pil Chong",A Low Frequency Band Watermarking with Weighted Correction in the Combined Cosine and Wavelet Transform Domain
Neural Network-Based English Alphanumeric Character Recognition,Md. Fazlul Kader and Kaushik Deb
A New Audio Watermarking Method Based on Discrete Cosine Transform with a Gray Image,"Muhammad Ibrahim Khan, Md. Iqbal Hasan Sarker, Kaushik Deb, and Md. Hasan Farhad"
Automated Road Line Detection for Intelligent Vehicle,"Anik Saha, Dipanjan Das Roy, Tauhidul Alam and Kaushik Deb"
Two-Handed Sign Language Recognition for Bangla Character Using Normalized Cross Correlation,"Kaushik Deb, Muhammad Ibrahim Khan, Helena Parvin Mony and Sujan Chowdhury"
Lossless Image Compression Technique Based on Snack Ordering,"Kaushik Deb, Tauhidul Alam, Md. Mahammud Ali and Kang-Hyun Jo"
"Md. Iqbal Hasan Sarker, Muhammad Ibrahim Khan, Kaushik Deb, and Md. Faisal Faruque",FFT based Audio Watermarking Method with a Gray Image for Copyright Protection
Automatic Vehicle Identification by Plate Recognition for Intelligent Transportation Systems',"Kaushik Deb, My Ha Le, Byung-Seok Woo and Kang-Hyun Jo"
Vehicle License Plate Detection Method Based on HDR Image Generation from Multiple Computers,Kaushik Deb and Kang-Hyun Jo
Vehicle License Plate Tilt correction Based on the Straight Line Fitting Method and Minimizing Variance of Coordinates of Projection Points,"Kaushik Deb, Andrey Vavilin, Jung-Won Kim, and Kang-Hyun Jo"
A Modified Spectral Modeling Synthesis Algorithm for Whale Sound,"Pranab Kumar Dhar, Mohammed Ibrahim Khan, Kaushik Deb, and Jong-Myon Kim"
Fast HDR Image Generation Technique based on Exposure Blending,"Andrey Vavilin, Kaushik Deb, and Kang-Hyun Jo"
A Vehicle License Plate Detection Method for Intelligent Transportation System Applications,Kaushik Deb and Kang-Hyun Jo
Vehicle License Plate Detection Algorithm Based on Color Space and Geometrical Properties,Kaushik Deb and Kang-Hyun Jo
Vehicle License Plate Detection Method Based on Sliding Concentric Windows and Histogram,"Kaushik Deb, Hyun-Uk Chae, and Kang-Hyun Jo"
An Efficient Method of Vehicle License Plate Detection Based on HSI Color Model and Histogram,"Kaushik Deb, Hee-Chul Lim, Suk-Ju Kang, and Kang-Hyun Jo"
Statistical Characteristics in HSI Color Model and Position Histogram based Vehicle License Plate Detection.,"Kaushik Deb, Suk-Ju Kang, and Kang-Hyun Jo"
Geometrical Reorientation of Distorted Road Sign using Projection Transformation for Road Sign Recognition,"Hee-Chul Lim, Kaushik Deb, and Kang-Hyun Jo"
Geometrical Property and Histogram Based Korean Vehicle License Plate Detection,Kaushik Deb and Kang-Hyun Jo
Construction of a simple Robotic Arm and Control by Software,Kaushik Deb and Thomas Chowdhury
Structural Operational Semantics of Inheritance and Object creation in JAVA,"M. S. Arefin, M. M. Hoque, M.T. Islam, and Kaushik Deb"
Human Detection Based on HOG-LBP for Monitoring Sterile Zone,"Farjana Bintay Kamal, Sangita Mitra, Tahmina Khanam, Uzzal K. Acharjee, Dipankar Das and Kaushik Deb"
Geometrical Feature Based Stairways Detection and Recognition using Depth Sensor,Md. Khaliluzzaman Kaushik Deb
Bangladeshi Road Sign Recognition Based on DtBs Vector and Artificial Neural Network,"Soumen Chakraborty, Mohammed Nasir Uddin and Kaushik Deb"
Baggage Detection and Classification using Human Body Parameter & Boosting Technique,"Tahmina Khanam, Kaushik Deb and Kang-Hyun Jo"
Occlusion handling and human detection based on Histogram of Oriented Gradients for automatic video surveillance,"S. A. Chowdhury, M. N. Uddin, M. M. S. Kowsar and K. Deb"
Digital Electric Meter Reading Recognition Based on Horizontal and Vertical Binary Pattern,Md. Khaliluzzaman and Kaushik Deb
Zebra-crossing Detection Based on Geometric Feature and Vertical Vanishing Point,Md. Khaliluzzaman and Kaushik Deb
Occlusion handling and human detection based on Histogram of Oriented Gradients for automatic video surveillance,"Shaiyan Ameen Chowdhury, M. N. Uddin, M.S. Kowsar and Kaushik Deb"
Human and Carried Baggage Detection & Classification based on RSD-HOG in Video Frame,Tahmina Khanam and Kaushik Deb
Analyzing Image Transmission Quality using Filter and C-QAM,"d. Khaliluzzaman, Deepak Kumar Chy., Kaushik Deb"
Support Vector Machine for Overcoming the Problem of Vanishing Point during Stairways Detection,Md. Khaliluzzaman and Kaushik Deb
Analyzing MRI Segmentation Based on Wavelet and BEMD using Fuzzy C-Means Clustering,Md. Khaliluzzaman and Kaushik Deb
Stairways Detection and Distance Estimation Approach Based on Three Connected Point and Triangular Similarity,"Md. Khaliluzzaman, Kaushik Deb, and Kang-Hyun Jo"
Stairways Detection and Distance Estimation Approach Based on Three Connected Point and Triangular Similarity,"Md. Khaliluzzaman, Kaushik Deb, and Kang-Hyun Jo"
Moving cast shadow detection and removal from Video based on HSV color space,Animash Kar and Kaushik Deb
Bangladeshi road sign detection based on YCbCr color model and DtBs vector,Soumen Chakraborty and Kaushik Deb
Color Image Watermarking Based on LU Decomposition,"Kazi Anika Hossain Naima, Tahmina Khhanm and Kaushik Deb"
An Efficient Framework for Detecting Face Region Based on Skin Color Modeling and SVM Classifier,"Arpita Chowdhury, Tahmina Khhanm and Kaushik Deb"
